name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul
GP Swann (ENG),2000-2013,79,76,634.5,25,2888,104,5/28,27.76,4.54,36.6,3,1
C Pringle (NZ),1990-1995,64,64,552.2,36,2459,103,5/45,23.87,4.45,32.1,2,1
Taskin Ahmed (BAN),2014-2024,73,71,570.2,26,3088,103,5/28,29.98,5.41,33.2,4,2
ST Finn (ENG),2011-2017,69,67,591.4,38,2996,102,5/33,29.37,5.06,34.8,4,2
SM Sharif (SCOT),2011-2024,80,79,628.1,40,3123,102,5/33,30.61,4.97,36.9,3,2
E Chigumbura (Afr/ZIM),2004-2018,213,132,723.1,23,4274,101,4/28,42.31,5.91,42.9,1,0
Mujeeb Ur Rahman (AFG),2017-2023,75,74,661.2,39,2863,101,5/50,28.34,4.32,39.2,3,1
SC Ganguly (Asia/IND),1992-2007,311,171,760.1,30,3849,100,5/16,38.49,5.06,45.6,1,2
Hasan Ali (PAK),2016-2023,66,64,531.2,16,3084,100,5/34,30.84,5.80,31.8,2,4
CK Langeveldt (SA),2001-2010,72,71,581.3,29,2962,100,5/39,29.62,5.09,34.8,1,2
RW Price (ZIM),2002-2012,102,99,895.4,75,3575,100,4/22,35.75,3.99,53.7,1,0
DJ Willey (ENG),2015-2023,73,72,538.2,34,2975,100,5/30,29.75,5.52,32.3,4,1
NJ Astle (NZ),1995-2007,223,159,808.2,28,3809,99,4/43,38.47,4.71,48.9,1,0
LH Ferguson (NZ),2016-2023,65,64,550.0,13,3124,99,5/45,31.55,5.68,33.3,2,1
WD Parnell (SA),2009-2023,73,69,537.2,23,3010,99,5/48,30.40,5.60,32.5,3,2
CJ McKay (AUS),2009-2014,59,59,494.1,38,2364,97,5/28,24.37,4.78,30.5,4,2
N Boje (Afr/SA),1995-2005,115,108,756.5,22,3415,96,5/21,35.57,4.51,47.3,2,1
JP Faulkner (AUS),2013-2017,69,67,535.1,12,2962,96,4/32,30.85,5.53,33.4,4,0
V Sehwag (Asia/ICC/IND),1999-2013,251,146,732.0,13,3853,96,4/6,40.13,5.26,45.7,1,0
PA Strang (ZIM),1994-2001,95,89,725.1,35,3173,96,5/21,33.05,4.37,45.3,2,2
Bilal Khan (OMA),2019-2023,45,45,391.0,29,1969,95,5/31,20.72,5.03,24.6,4,4
PS de Villiers (SA),1992-1997,83,82,737.0,86,2636,95,4/27,27.74,3.57,46.5,2,0
AJ Hall (SA),1999-2007,88,78,556.5,30,2515,95,5/18,26.47,4.51,35.1,3,1
SO Tikolo (Afr/KENYA),1996-2014,135,99,669.2,23,3215,94,4/41,34.20,4.80,42.7,2,0
LL Tsotsobe (SA),2009-2013,61,60,494.0,44,2347,94,4/22,24.96,4.75,31.5,7,0
CB Mpofu (ZIM),2004-2020,84,83,660.0,41,3581,93,6/52,38.50,5.42,42.5,2,1
Zahoor Khan (UAE),2017-2024,62,62,480.0,25,2405,93,6/34,25.86,5.01,30.9,2,1
SP Narine (WI),2011-2016,65,65,590.0,35,2435,92,6/27,26.46,4.12,38.4,4,2
AC Cummins (CAN/WI),1991-2007,76,74,627.5,29,2877,91,5/31,31.61,4.58,41.3,2,1
AL Phehlukwayo (SA),2016-2023,78,73,499.1,17,2889,91,4/22,31.74,5.78,32.9,3,0
MRJ Watt (SCOT),2016-2024,64,63,560.1,46,2316,91,5/33,25.45,4.13,36.9,3,1
MN Samuels (WI),2000-2018,207,134,848.3,23,4127,89,3/12,46.37,4.86,57.2,0,0
L Ngidi (SA),2018-2023,56,55,436.3,26,2508,88,6/58,28.50,5.74,29.7,4,1
Sikandar Raza (ZIM),2013-2024,142,112,768.2,24,3738,88,4/55,42.47,4.86,52.3,1,0
GJ Whittall (ZIM),1993-2003,147,112,676.4,18,3481,88,4/35,39.55,5.14,46.1,1,0
PA de Silva (SL),1990-2003,240,124,659.4,22,3207,86,4/30,37.29,4.86,46.0,2,0
AR McBrine (IRE),2014-2024,88,83,685.5,37,3090,86,5/29,35.93,4.50,47.8,2,1
MM Patel (IND),2006-2011,70,67,525.4,38,2603,86,4/29,30.26,4.95,36.6,3,0
Aamer Sohail (PAK),1990-2000,156,125,806.0,17,3703,85,4/22,43.56,4.59,56.8,1,0
IJ Harvey (AUS),1997-2004,73,70,546.3,29,2577,85,4/16,30.31,4.71,38.5,4,0
Rohan Mustafa (UAE),2014-2023,81,80,631.1,31,2831,85,5/25,33.30,4.48,44.5,1,1
Shadab Khan (PAK),2017-2023,70,67,564.4,13,2960,85,4/27,34.82,5.24,39.8,5,0
ME Waugh (AUS),1990-2002,237,120,614.3,11,2938,85,5/24,34.56,4.78,43.3,1,1
PW Hasaranga (SL),2017-2024,54,53,429.3,20,2194,84,7/19,26.11,5.10,30.6,3,4
HH Pandya (IND),2016-2023,86,80,533.1,15,2960,84,4/24,35.23,5.55,38.0,1,0
CD Collymore (WI),1999-2007,84,80,679.0,45,2924,83,5/51,35.22,4.30,49.0,1,1
Mohammad Irfan (PAK),2010-2016,60,60,518.1,31,2549,83,4/30,30.71,4.91,37.4,2,0
Saleem Malik (PAK),1990-1999,178,101,506.5,8,2539,83,5/35,30.59,5.00,36.6,1,1
SC Williams (ZIM),2005-2023,156,128,798.4,34,3946,83,4/43,47.54,4.94,57.7,1,0
MJ McClenaghan (NZ),2013-2016,48,45,389.2,11,2313,82,5/58,28.20,5.94,28.4,6,1
Mahmudullah (BAN),2007-2024,232,151,725.0,14,3791,82,3/4,46.23,5.22,53.0,0,0
JEC Franklin (NZ),2001-2013,110,97,641.2,34,3354,81,5/42,41.40,5.22,47.5,0,1
Mohammad Amir (PAK),2009-2019,61,60,502.1,34,2400,81,5/30,29.62,4.77,37.1,1,1
DJG Sammy (WI),2004-2015,126,119,826.0,41,3851,81,4/26,47.54,4.66,61.1,1,0
IR Bishop (WI),1990-1997,63,62,530.5,40,2366,80,5/25,29.57,4.45,39.8,4,1
N Kapil Dev (IND),1990-1994,76,74,616.4,73,2291,79,4/31,29.00,3.71,46.8,2,0
CR Matthews (SA),1991-1997,56,55,500.3,53,1975,79,4/10,25.00,3.94,38.0,3,0
PV Simmons (WI),1991-1999,118,97,623.4,36,2770,79,4/3,35.06,4.44,47.3,2,0
AJ Bichel (AUS),1997-2004,67,66,542.5,28,2463,78,7/20,31.57,4.53,41.7,1,2
IDR Bradshaw (WI),2004-2007,62,62,528.4,38,2299,78,3/15,29.47,4.34,40.6,0,0
PJ Ongondo (Afr/KENYA),1999-2011,79,79,517.0,51,2350,78,5/51,30.12,4.54,39.7,1,1
Iftikhar Anjum (PAK),2004-2010,62,60,493.2,41,2430,77,5/30,31.55,4.92,38.4,2,1
P Kumar (IND),2007-2012,68,67,540.2,45,2774,77,4/31,36.02,5.13,42.1,3,0
R McLaren (SA),2009-2014,54,51,400.3,13,2102,77,4/19,27.29,5.24,31.2,5,0
MA Wood (ENG),2015-2023,66,65,549.5,18,3039,77,4/33,39.46,5.52,42.8,2,0
SJ Harmison (ENG),2002-2009,58,57,483.1,29,2481,76,5/33,32.64,5.13,38.1,2,1
RD King (WI),1998-2005,50,50,433.5,41,1807,76,4/25,23.77,4.16,34.2,2,0
GB Brent (ZIM),1996-2008,70,69,565.0,40,2776,75,4/22,37.01,4.91,45.2,3,0
RJ Peterson (SA),2002-2014,79,74,546.2,15,2680,75,4/12,35.73,4.90,43.7,3,0
S Sreesanth (IND),2005-2011,53,52,412.4,16,2508,75,6/55,33.44,6.07,33.0,2,1
HMRKB Herath (SL),2004-2015,71,67,540.2,18,2362,74,4/20,31.91,4.37,43.8,1,0
Karan KC (NEP),2018-2024,51,51,362.2,26,1923,74,5/33,25.98,5.30,29.3,5,3
TJ Murtagh (IRE),2012-2019,58,57,503.2,45,2290,74,5/21,30.94,4.54,40.8,4,1
BA Stokes (ENG),2011-2023,114,88,518.2,8,3137,74,5/61,42.39,6.05,42.0,1,1
CA Young (IRE),2014-2024,45,42,355.2,16,1930,74,5/46,26.08,5.43,28.8,1,1
Gulbadin Naib (AFG),2011-2024,82,76,468.3,12,2599,73,6/43,35.60,5.54,38.5,3,1
RS Kalpage (SL),1992-1999,86,81,660.0,20,2975,73,4/36,40.75,4.50,54.2,2,0
SN Netravalkar (USA),2019-2023,48,47,409.4,49,1626,73,5/32,22.27,3.96,33.6,1,2
J Botha (Afr/SA),2005-2012,78,75,637.1,13,2916,72,4/19,40.50,4.57,53.0,1,0
BJ McCarthy (IRE),2016-2024,45,45,373.4,14,2166,72,5/46,30.08,5.79,31.1,2,1
T Shamsi (SA),2016-2023,51,48,413.3,8,2284,72,5/49,31.72,5.52,34.4,3,1
PL Symcox (SA),1993-1999,80,80,665.1,25,2762,72,4/28,38.36,4.15,55.4,1,0
JDS Neesham (NZ),2013-2023,76,72,408.0,6,2556,71,5/27,36.00,6.26,34.4,2,2
DBL Powell (WI),2002-2009,55,55,475.0,35,2239,71,4/27,31.53,4.71,40.1,2,0
Sohail Tanvir (PAK),2007-2014,62,60,491.3,24,2566,71,5/48,36.14,5.22,41.5,3,1
Sompal Kami (NEP),2018-2024,54,54,397.3,34,2038,71,5/33,28.70,5.12,33.5,1,1
BM McMillan (SA),1991-1998,78,75,603.5,33,2589,70,4/32,36.98,4.28,51.7,1,0
GJ Maxwell (AUS),2012-2023,138,110,619.5,12,3384,70,4/40,48.34,5.45,53.1,4,0
NN Odhiambo (KENYA),2006-2014,69,67,468.0,26,2585,70,4/61,36.92,5.52,40.1,1,0
AD Russell (WI),2011-2019,56,55,381.4,14,2229,70,4/35,31.84,5.84,32.7,5,0
Shafiul Islam (BAN),2010-2020,60,60,423.2,26,2529,70,4/21,36.12,5.97,36.2,4,0
CA Soper (PNG),2016-2023,56,56,435.2,35,1985,70,6/41,28.35,4.55,37.3,1,2
AR Caddick (ENG),1993-2003,54,53,489.3,66,1965,69,4/19,28.47,4.01,42.5,3,0
JP Duminy (SA),2004-2019,199,135,585.3,9,3143,69,4/16,45.55,5.36,50.9,1,0
Haris Rauf (PAK),2020-2023,37,37,305.5,11,1822,69,5/18,26.40,5.95,26.5,4,1
SB Joshi (IND),1996-2001,69,67,564.2,33,2509,69,5/6,36.36,4.44,49.0,1,1
RP Singh (IND),2005-2011,58,57,427.3,31,2343,69,4/35,33.95,5.48,37.1,2,0
RR Singh (IND),1996-2001,134,116,621.0,28,2978,69,5/22,43.15,4.79,54.0,0,2
EA Brandes (ZIM),1992-1999,55,55,438.2,34,2112,68,5/28,31.05,4.81,38.6,1,2
Mohammed Siraj (IND),2019-2023,41,40,304.1,29,1550,68,6/21,22.79,5.09,26.8,2,1
HA Varaiya (KENYA),2006-2014,63,60,491.5,40,2048,68,4/25,30.11,4.16,43.3,2,0
MA Ealham (ENG),1996-2001,64,62,537.5,33,2197,67,5/15,32.79,4.08,48.1,1,2
JR Hopes (AUS),2005-2010,84,75,526.1,32,2384,67,5/14,35.58,4.53,47.1,0,1
MS Kasprowicz (AUS),1995-2005,43,42,370.5,28,1674,67,5/45,24.98,4.51,33.2,1,2
Khaled Mahmud (BAN),1998-2006,77,75,564.1,30,2865,67,4/19,42.76,5.07,50.5,1,0
DT Johnston (IRE),2006-2013,67,63,488.2,46,2115,66,5/14,32.04,4.33,44.3,1,1
CC Lewis (ENG),1990-1998,53,49,437.3,29,1942,66,4/30,29.42,4.43,39.7,4,0
T Panyangara (ZIM),2004-2016,65,65,540.2,41,3024,65,3/28,46.52,5.59,49.8,0,0
SN Thakur (IND),2017-2023,47,46,323.2,10,2014,65,4/37,30.98,6.22,29.8,3,0
C White (ENG),1994-2003,51,50,394.0,25,1726,65,5/21,26.55,4.38,36.3,1,1
Ahmed Raza (UAE),2014-2022,53,53,466.5,18,1924,64,5/26,30.06,4.12,43.7,1,1
Junaid Siddique (UAE),2019-2024,46,45,354.0,26,1781,64,4/23,27.82,5.03,33.1,1,0
A Mishra (IND),2003-2016,36,34,319.3,19,1511,64,6/48,23.60,4.72,29.9,2,2
DJ Nash (NZ),1992-2002,81,78,569.2,37,2622,64,4/38,40.96,4.60,53.3,1,0
AR Cusack (IRE),2007-2015,59,52,325.3,24,1510,63,5/20,23.96,4.63,31.0,1,1
N Pradeep (SL),2012-2022,49,47,390.5,20,2339,63,4/31,37.12,5.98,37.2,2,0
NM Hauritz (AUS),2002-2011,58,56,454.0,12,2152,63,4/29,34.15,4.74,43.2,2,0
NL McCullum (NZ),2009-2015,84,81,589.2,6,2956,63,3/24,46.92,5.01,56.1,0,0
AD Mullally (ENG),1996-2001,50,49,449.5,48,1728,63,4/18,27.42,3.84,42.8,2,0
SLV Raju (IND),1990-1996,53,52,461.4,16,2014,63,4/46,31.96,4.36,43.9,2,0
IS Sodhi (NZ),2015-2023,51,48,407.1,12,2251,63,6/39,35.73,5.52,38.7,1,1
R Trumpelmann (NAM),2021-2024,38,38,309.1,23,1462,63,5/30,23.20,4.72,29.4,2,2
